timestamp,seance,atomic_action_type,root_asset_id,asset_id,region_id,tag_name,bounding_box_top,bounding_box_left,bounding_box_width,bounding_box_height
14.44,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,c66180babc0e769658939daa97d8510e,eOR7-R_pC,Enter,39.181640625,561.57421875,78.42578125,125.13219451904297
25.96,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,301c572567f078d9f13331c6cf66aa3d,vgQeFX5Q6,Enter,45.818359375,532.2000000000007,93.81855468749927,121.681640625
29.4,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,cf1b2289893993a76759bbef31a33ab8,yz6pP7AYW,Enter,51.818359375,570.3818359375,67.63671875,141.818359375
31.16,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,20400e8d86f224a4680155be6064f0cb,qVMGVrJM4,Enter,33.818359375,567.654296875,68.7275390625,187.0908203125
37.08,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,754b63f8e543c8bcd2297404b4c45849,prXEFISNw,Sit down,1.390625,328.384765625,77.263671875,55.427734375
38.24,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,7a1d77a4663212cd3b728515f0f7af19,a5yi5RmRr,hand gesture,121.0908203125,444.927734375,69.2724609375,68.1826171875
38.24,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,7a1d77a4663212cd3b728515f0f7af19,T9aCQX-ZT,Sit down,2.7275390625,334.7451171875,69.2734375,52.9091796875
46.28,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,cf5d6fd259fa06f13688a9ec2efd3862,qJ3w5L5cm,Sit down,4.36328125,206.5634765625,106.9091796875,195.2734375
46.28,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,cf5d6fd259fa06f13688a9ec2efd3862,xy-kGCklh,Sit down,2.181640625,428.5634765625,62.7275390625,57.2724609375
46.28,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,cf5d6fd259fa06f13688a9ec2efd3862,ECasbpdZx,Sit down,84,368.0185546875,134.7265625,226.36328125
54.2,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,bc95f6565cf39e6b2e4d7f4bfe28d7d8,wPEUXG2lr,Stand up,4.9091796875,488.5634765625,73.63671875,87.2724609375
55,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,961ebc99d59aae7a74afdba1fbc1474b,nKBTn9kwC,Walk,44.181640625,508.2001953125,64.36328125,172.3642578125
55.28,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,105343e92638ea395f91329b6dcde35c,d26AAafi4,hand gesture,36.5458984375,276.3818359375,35.4541015625,35.4541015625
58.52,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,4de215b273f5ab6cb0a24e01579033f8,2DA5861vk,hand gesture,98.7275390625,414.927734375,45.2724609375,38.181640625
62.72,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,39d9f73044951416d0d1bb4f34b84a05,UMPK6MLVJ,Sit down,70.9091796875,492.3818359375,75.2724609375,128.181640625
68.16,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,ba618634b6bbfa63fcd70fb85956f461,Ptul7C0db,hand gesture,34.9091796875,261.10000000000036,38.191015624999636,34.39082031250109
69.92,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,a54212f47f098b480fc099b3470aa2f1,80AunmyGR,hand gesture,135.8173828125,384.927734375,46.87226562500109,35.48261718750109
76.48,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,bc875eed5313b5ddfe40c5139534e30f,KcH-XaTau,hand gesture,4.9091796875,348.927734375,47.4541015625,31.63671875
82.56,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,7a0619a329333ba1a6791c058e949ba5,fX1jl1T11,Enter,41.4541015625,546.927734375,80.181640625,127.091796875
84.08,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,d0c5b91821cce797624114c0c5474f3f,Sii8-2F-g,Walk,2.181640625,455.8359375,66.5458984375,75.2724609375
85.52,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,838abe8400af61eabae39ebf2bae4b36,Ue3RBTkR2,hand gesture,118.36328125,453.654296875,31.63671875,28.3642578125
87.04,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,d90cc9bdada9dd9a3b28b942e246666d,30abJotUA,hand gesture,30.5458984375,443.8359375,84.5458984375,52.908203125
93.52,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,593872ebb71bd5f25abeb0231fe2e156,PgUNLd10Q,Sit down,16.9091796875,461.291015625,68.7275390625,57.818359375
108.08,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,6ad28fca277fac259972edefc4a27f2b,xvMSmOrYY,hand gesture,66.5458984375,232.7451171875,31.63671875,35.4541015625
491.2,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,01af204d1de6efbb408892d3bf4ddb6d,WDVQyYwcQ,Stand up,2.228515625,301.232421875,65.7853775024414,67.46500396728516
492.96,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,522722f9a148e6e9917372fedbaf310a,qbktbm_-N,Walk,7.267578125,135.228515625,75.58320617675781,213.59254455566406
497.72,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,c5261d77c269a11b93c21e7ce3ade84d,CkGNyao0N,Stand up,36.1015625,524.62109375,66.62519073486328,73.90357971191406
499.44,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,d70b85d40168a9112cdf43b29c7bf207,d5QUCyr0-,Stand board,167.953125,440.642578125,141.92845153808594,190.63763427734375
503.96,Seance_2_FAST_Valise/,pose,510982797d6236c6ae1efae6890d841d,c82daaa2fb394b53bdbbc1cf0032322f,bp10DfbBE,hand gesture,137.439453125,405.650390625,71.3841323852539,72.22395324707031
