datetime;seconds;action;model;item_type;id;sender_user;sender_agent;sender_id;document;portal;container;x;y;rotation;scale;text;value;
"2019-10-01T12:33:02.645Z";"5268.184";"create";"items";"Postit";"17c7e00f-e4ef-4ca9-9cb1-1e8933a6ca76";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"360.0";"1162.0";"90";"1.0";"";;
"2019-10-01T12:33:03.205Z";"5268.744";"update";"items.Transform";;"17c7e00f-e4ef-4ca9-9cb1-1e8933a6ca76";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";;;;"424.0";"1062.0";"90";"1.0";;;
"2019-10-01T12:33:13.107Z";"5278.646";"create";"items";"Postit";"ce0c9df3-ecec-467e-b597-c89b871c6e43";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"1603.0";"291.0";"180";"1.0";"";;
"2019-10-01T12:33:57.285Z";"5322.824";"create";"items";"Postit";"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"1175.0";"1880.0";"0";"1.0";"";;
"2019-10-01T12:34:47.865Z";"5373.404";"update";"items";"Postit";"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";;"cf0ac789-f72f-44dc-b77a-1f0967304f9f";;"0.0";"0.0";"0";"1.0";"";;
"2019-10-01T12:34:49.947Z";"5375.486";"update";"items";"Postit";"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"1230.5";"1507.9";"0";"1.0";"";;
"2019-10-01T12:34:54.476Z";"5380.015";"update";"items.Transform";;"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";;;;"983.8";"1568.6";"0";"1.9";;;
"2019-10-01T12:35:14.202Z";"5399.741";"update";"items";"Postit";"25157732-749b-417f-8f4f-675d6a8cbb47";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";;;"6f315aa6-a5ac-4d3f-a294-5b4d2ee9895f";;"3404.0";"1798.0";"0";"1.0";"";;
"2019-10-01T12:35:08.885Z";"5394.424";"create";"items";"Postit";"25157732-749b-417f-8f4f-675d6a8cbb47";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"cee6cb34-5a2e-4446-98e4-55080a735a0e";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"3404.0";"1798.0";"0";"1.0";"";;
"2019-10-01T12:35:12.532Z";"5398.071";"create";"documents";;"90c3dd7b-42b8-4451-85bd-949a26e052a6";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;;;;;;;
