datetime;seconds;action;model;item_type;id;sender_user;sender_agent;sender_id;document;portal;container;x;y;rotation;scale;text;value;
"2019-10-08T12:42:56.451Z";"1609.27";"create";"meetings";;"ed97ab5f-bacb-4e1c-b314-5826c4035702";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:43:30.141Z";"1642.96";"create";"documents";;"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:43:30.294Z";"1643.113";"create";"items";"DiagramLayer";"c4a43418-83af-4fc9-b383-fa664f36d44f";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";;;;;;;;;
"2019-10-08T12:43:30.350Z";"1643.169";"create";"items";"ImageLayer";"057f6f76-5804-4a7f-be84-e4d75a7d113c";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";;;;;;;;;
"2019-10-08T12:43:30.454Z";"1643.273";"create";"attachments";;"386a9e46-9e1f-4013-8182-75c2ba001488";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:43:30.509Z";"1643.328";"update";"items.Image";;"057f6f76-5804-4a7f-be84-e4d75a7d113c";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:43:46.264Z";"1659.083";"update";"documents";;"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:43:58.037Z";"1670.856";"update";"documents";;"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:44:04.910Z";"1677.729";"update";"documents";;"a3c234c3-fddb-42d4-b004-5ad4f50b8f8e";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;;
"2019-10-08T12:45:45.320Z";"1778.139";"create";"items";"Postit";"f973e81e-e42f-4829-9bbe-b7cd9f65a09b";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"3cd2392d-3ff0-43af-885e-01e5d10f32a7";;"b4756395-5c81-4528-b55d-3ee5546f374a";"1977.9";"871.5";"0";"1.0";"";;
