datetime;seconds;action;model;item_type;id;sender_user;sender_agent;sender_id;document;portal;container;x;y;rotation;scale;text;value;
"2019-10-15T13:32:51.072Z";"36.208";"update";"items";"Postit";"1cb0b770-14eb-4c0d-a423-a1336f174d9e";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;"661e554e-0a0d-4d56-b494-67181c6888d2";;"0.0";"0.0";"0";"1.0";"postulant essaye de faire quelque chose de différent";;
"2019-10-15T13:32:50.024Z";"35.16";"create";"items";"Postit";"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"1010.0";"1680.1";"0";"1.0";"d";;
"2019-10-15T13:32:51.004Z";"36.14";"update";"items.Transform";;"1cb0b770-14eb-4c0d-a423-a1336f174d9e";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;"2694.6";"1014.8";"180";"1.0";;;
"2019-10-15T13:32:57.003Z";"42.139";"update";"items";"Postit";"1cb0b770-14eb-4c0d-a423-a1336f174d9e";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"f2587b51-774c-4333-b9b6-1c46c04f0e6e";"ebbb8e10-1084-42a8-bb11-04702306d6b3";;"50b3efd7-3c1c-428b-abd2-629b583c6339";"998.0";"719.2";"0";"1.0";"postulant essaye de faire quelque chose de différent";;
"2019-10-15T13:33:02.895Z";"48.031";"update";"items";"Postit";"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;"d8e55934-dd9d-47d8-86f7-367c249b79b3";;"0.0";"0.0";"0";"1.0";"docs - pertinents";;
"2019-10-15T13:32:59.498Z";"44.634";"update";"items.Transform";;"1cb0b770-14eb-4c0d-a423-a1336f174d9e";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"f2587b51-774c-4333-b9b6-1c46c04f0e6e";;;;"946.9";"548.2";"0";"1.0";;;
"2019-10-15T13:32:46.694Z";"31.83";"update";"items.Text";;"1cb0b770-14eb-4c0d-a423-a1336f174d9e";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;;;;;"postulant essaye de faire quelque chose de différent";;
"2019-10-15T13:33:02.787Z";"47.923";"update";"items.Transform";;"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;"1315.3";"1818.1";"25";"1.0";;;
"2019-10-15T13:33:08.758Z";"53.894";"update";"items";"Postit";"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"f2587b51-774c-4333-b9b6-1c46c04f0e6e";"ebbb8e10-1084-42a8-bb11-04702306d6b3";;"50b3efd7-3c1c-428b-abd2-629b583c6339";"890.0";"1495.3";"0";"1.0";"docs - pertinents";;
"2019-10-15T13:33:11.690Z";"56.826";"update";"items.Transform";;"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"f2587b51-774c-4333-b9b6-1c46c04f0e6e";;;;"1016.6";"1489.5";"0";"1.0";;;
"2019-10-15T13:33:01.550Z";"46.686";"update";"items.Text";;"a7d9361b-f4a6-4fde-b6c2-405dd0a00c2c";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;;;;;"docs - pertinents";;
"2019-10-15T13:33:21.661Z";"66.797";"create";"items";"Postit";"0f555319-0c69-4173-983b-6d24dd13ed6a";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"2860.0";"1809.0";"0";"1.0";"";;
"2019-10-15T13:33:38.224Z";"83.36";"create";"items";"Postit";"dc4d59ed-5b3a-4140-bc52-bd07b3efc797";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";"ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1";;"73d278b0-a6c5-49b7-add9-93efce5dd98b";"1010.0";"1680.1";"0";"1.0";"l";;
"2019-10-15T13:33:39.302Z";"84.438";"update";"items.Transform";;"dc4d59ed-5b3a-4140-bc52-bd07b3efc797";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;"974.4";"1522.6";"25";"1.0";;;
"2019-10-15T13:33:45.357Z";"90.493";"update";"items";"Postit";"0f555319-0c69-4173-983b-6d24dd13ed6a";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;"97ea9052-369f-4539-a8c2-b9de53a11156";;"0.0";"0.0";"0";"1.0";"perte de repères recruteur";;
"2019-10-15T13:33:45.011Z";"90.147";"update";"items.Transform";;"0f555319-0c69-4173-983b-6d24dd13ed6a";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;"3212.6";"1472.1";"0";"1.0";;;
"2019-10-15T13:33:58.574Z";"103.71";"update";"items";"Postit";"0f555319-0c69-4173-983b-6d24dd13ed6a";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"f2587b51-774c-4333-b9b6-1c46c04f0e6e";"ebbb8e10-1084-42a8-bb11-04702306d6b3";;"50b3efd7-3c1c-428b-abd2-629b583c6339";"1338.4";"1477.9";"27";"1.0";"perte de repères recruteur";;
"2019-10-15T13:33:42.945Z";"88.081";"update";"items.Text";;"0f555319-0c69-4173-983b-6d24dd13ed6a";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;;;;;;;"perte de repères recruteur";;
"2019-10-15T13:34:09.536Z";"114.672";"update";"items";"Postit";"dc4d59ed-5b3a-4140-bc52-bd07b3efc797";"auvinali";"UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05)";"635a4e81-e7d6-4fdf-a942-9937c4746309";;"d8e55934-dd9d-47d8-86f7-367c249b79b3";;"0.0";"0.0";"0";"1.0";"le recruteur prends trop de temps a tout lire";;
