Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
0.0,0,0,0,0,0,0,1,0,0,Seance_2_FAST_Valise
30.0,0,0,0,0,0,0,1,0,0,Seance_2_FAST_Valise
60.0,0,0,0,0,0,0,1,0,1,Seance_2_FAST_Valise
90.0,0,0,0,0,0,0,1,1,1,Seance_2_FAST_Valise
120.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
150.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
180.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
210.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
240.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
270.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
300.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
330.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
360.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
390.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
420.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
450.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
480.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
510.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
540.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
570.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
600.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
630.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
660.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
690.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
720.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
750.0,0,0,0,0,0,0,1,1,0,Seance_2_FAST_Valise
780.0,0,0,1,0,1,0,1,0,0,Seance_2_FAST_Valise
810.0,0,0,0,0,1,0,0,0,0,Seance_2_FAST_Valise
840.0,0,0,1,0,1,0,0,0,0,Seance_2_FAST_Valise
870.0,0,0,1,1,1,0,0,0,0,Seance_2_FAST_Valise
900.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
930.0,0,0,0,0,0,1,0,1,0,Seance_2_FAST_Valise
960.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
990.0,0,0,0,0,1,1,0,0,0,Seance_2_FAST_Valise
1020.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
1050.0,0,0,1,0,0,1,0,0,0,Seance_2_FAST_Valise
1080.0,0,0,1,1,1,0,0,0,0,Seance_2_FAST_Valise
1110.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
1140.0,0,0,0,1,1,0,0,1,0,Seance_2_FAST_Valise
1170.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
1200.0,1,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
1230.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
1260.0,0,1,0,1,0,0,0,1,0,Seance_2_FAST_Valise
1290.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
1320.0,0,0,0,1,0,0,0,1,0,Seance_2_FAST_Valise
1350.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
1380.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
1410.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
1440.0,1,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
1470.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
1500.0,0,0,0,1,0,1,0,1,0,Seance_2_FAST_Valise
1530.0,0,0,0,1,0,1,0,1,0,Seance_2_FAST_Valise
1560.0,0,1,0,0,0,0,0,0,0,Seance_2_FAST_Valise
1590.0,0,1,1,0,0,0,0,1,0,Seance_2_FAST_Valise
1620.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
1650.0,1,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
1680.0,0,1,0,0,0,0,0,0,0,Seance_2_FAST_Valise
