skill_type,skill,student,note,seance,timespan
Engagement,Regulation,Student 1 (G1),0.0,Seance_2_FAST_Valise,25
Responsabilite,Regulation,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Coordination et evaluation du travail ,Regulation,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Communication,Communication,Student 1 (G1),0.0,Seance_2_FAST_Valise,25
Ecoute,Communication,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Reaction/Retours,Communication,Student 1 (G1),0.0,Seance_2_FAST_Valise,25
Travail equilibre ,Travail d'equipe,Student 1 (G1),0.0,Seance_2_FAST_Valise,25
Objectifs du groupe,Travail d'equipe,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Social,Travail d'equipe,Student 1 (G1),0.0,Seance_2_FAST_Valise,25
Conflit interpersonnel,Intelligence sociale,Student 1 (G1),,Seance_2_FAST_Valise,25
Besoins émotionnels des collègues,Intelligence sociale,Student 1 (G1),,Seance_2_FAST_Valise,25
Partage de temps de parole,Intelligence sociale,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Maintenir les notions partagées ,Conflit constructif,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Argumentation ,Conflit constructif,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Ouverture,Conflit constructif,Student 1 (G1),1.0,Seance_2_FAST_Valise,25
Engagement,Regulation,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Responsabilite,Regulation,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Coordination et evaluation du travail ,Regulation,Student 2 (F1-lunette),-1.0,Seance_2_FAST_Valise,25
Communication,Communication,Student 2 (F1-lunette),-1.0,Seance_2_FAST_Valise,25
Ecoute,Communication,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Reaction/Retours,Communication,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Travail equilibre ,Travail d'equipe,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Objectifs du groupe,Travail d'equipe,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Social,Travail d'equipe,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Conflit interpersonnel,Intelligence sociale,Student 2 (F1-lunette),,Seance_2_FAST_Valise,25
Besoins émotionnels des collègues,Intelligence sociale,Student 2 (F1-lunette),,Seance_2_FAST_Valise,25
Partage de temps de parole,Intelligence sociale,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Maintenir les notions partagées ,Conflit constructif,Student 2 (F1-lunette),-1.0,Seance_2_FAST_Valise,25
Argumentation ,Conflit constructif,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Ouverture,Conflit constructif,Student 2 (F1-lunette),0.0,Seance_2_FAST_Valise,25
Engagement,Regulation,Student 3 (F2 cheveux bouclés),-1.0,Seance_2_FAST_Valise,25
Responsabilite,Regulation,Student 3 (F2 cheveux bouclés),-1.0,Seance_2_FAST_Valise,25
Coordination et evaluation du travail ,Regulation,Student 3 (F2 cheveux bouclés),0.0,Seance_2_FAST_Valise,25
Communication,Communication,Student 3 (F2 cheveux bouclés),-1.0,Seance_2_FAST_Valise,25
Ecoute,Communication,Student 3 (F2 cheveux bouclés),-1.0,Seance_2_FAST_Valise,25
Reaction/Retours,Communication,Student 3 (F2 cheveux bouclés),0.0,Seance_2_FAST_Valise,25
Travail equilibre ,Travail d'equipe,Student 3 (F2 cheveux bouclés),0.0,Seance_2_FAST_Valise,25
Objectifs du groupe,Travail d'equipe,Student 3 (F2 cheveux bouclés),0.0,Seance_2_FAST_Valise,25
Social,Travail d'equipe,Student 3 (F2 cheveux bouclés),0.0,Seance_2_FAST_Valise,25
Conflit interpersonnel,Intelligence sociale,Student 3 (F2 cheveux bouclés),,Seance_2_FAST_Valise,25
Besoins émotionnels des collègues,Intelligence sociale,Student 3 (F2 cheveux bouclés),,Seance_2_FAST_Valise,25
Partage de temps de parole,Intelligence sociale,Student 3 (F2 cheveux bouclés),1.0,Seance_2_FAST_Valise,25
